Title,Date,Ranking,Cover Art,Song Titles,Authors,Last Week Position,Peak Position,Weeks On Chart
Billboard Hot 100™,"August 24, 2024",1,https://charts-static.billboard.com/img/2024/04/shaboozey-acf-abarsongtipsy-bat-180x180.jpg,A Bar Song (Tipsy),Shaboozey,1,1,18
Billboard Hot 100™,"August 24, 2024",2,https://charts-static.billboard.com/img/2024/05/post-malone-8b5-ihadsomehelp-4uo-180x180.jpg,I Had Some Help,Post Malone Featuring Morgan Wallen,2,1,14
Billboard Hot 100™,"August 24, 2024",3,https://charts-static.billboard.com/img/2024/05/kendrick-lamar-atc-notlikeus-fyp-180x180.jpg,Not Like Us,Kendrick Lamar,3,1,15
Billboard Hot 100™,"August 24, 2024",4,https://charts-static.billboard.com/img/2024/04/sabrina-carpenter-0lv-espresso-c1a-180x180.jpg,Espresso,Sabrina Carpenter,4,3,18
Billboard Hot 100™,"August 24, 2024",5,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,Birds Of A Feather,Billie Eilish,7,5,13
Billboard Hot 100™,"August 24, 2024",6,https://charts-static.billboard.com/img/2024/05/tommyrichman-vhu-milliondollarbaby-kpl-180x180.jpg,Million Dollar Baby,Tommy Richman,5,2,16
Billboard Hot 100™,"August 24, 2024",7,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-goodluckbabe-yrt-180x180.jpg,"Good Luck, Babe!",Chappell Roan,6,6,19
Billboard Hot 100™,"August 24, 2024",8,https://charts-static.billboard.com/img/2024/06/sabrina-carpenter-0lv-pleasepleaseplease-i9t-180x180.jpg,Please Please Please,Sabrina Carpenter,8,1,10
Billboard Hot 100™,"August 24, 2024",9,https://charts-static.billboard.com/img/2023/07/teddyswims-vot-losecontrol-4kx-180x180.jpg,Lose Control,Teddy Swims,9,1,53
Billboard Hot 100™,"August 24, 2024",10,https://charts-static.billboard.com/img/2013/10/hozier-7va-180x180.jpg,Too Sweet,Hozier,10,1,21
Billboard Hot 100™,"August 24, 2024",11,https://charts-static.billboard.com/img/2024/02/bensonboone-a8a-beautifulthings-vvt-180x180.jpg,Beautiful Things,Benson Boone,11,2,30
Billboard Hot 100™,"August 24, 2024",12,https://charts-static.billboard.com/img/2023/03/morgan-wallen-dqx-cowgirls-myb-180x180.jpg,Cowgirls,Morgan Wallen Featuring ERNEST,13,12,35
Billboard Hot 100™,"August 24, 2024",13,https://charts-static.billboard.com/img/2024/05/luke-combs-735-aintnoloveinoklahoma-c6a-180x180.jpg,Ain't No Love In Oklahoma,Luke Combs,14,13,13
Billboard Hot 100™,"August 24, 2024",14,https://charts-static.billboard.com/img/2024/06/zachbryan-de1-pinkskies-qx3-180x180.jpg,Pink Skies,Zach Bryan,16,6,12
Billboard Hot 100™,"August 24, 2024",15,https://charts-static.billboard.com/img/2024/07/morgan-wallen-dqx-lieslieslies-otk-180x180.jpg,Lies Lies Lies,Morgan Wallen,15,7,6
Billboard Hot 100™,"August 24, 2024",16,https://charts-static.billboard.com/img/2024/05/chappellroan-bhw-hottogo-8dx-180x180.jpg,Hot To Go!,Chappell Roan,17,16,11
Billboard Hot 100™,"August 24, 2024",17,https://charts-static.billboard.com/img/2023/09/zachbryan-de1-iremembereverything-to3-180x180.jpg,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,21,1,51
